image,energy [eV],energy [hartree],energy [kcal/mol],Delta E vs. reactant [kcal/mol]
0,-15953.761532861789,-586.2896261442553,-367901.7178285593,0.0
1,-15953.607937891093,-586.2839816360456,-367898.17585173756,3.5419768217252567
2,-15953.483308631983,-586.2794015975651,-367895.3018387079,6.415989851404447
3,-15953.442339737025,-586.2778960192061,-367894.35707550566,7.360753053624649
4,-15953.368812162478,-586.275193932046,-367892.66149287287,9.056335686414968
5,-15953.280002672282,-586.2719302451283,-367890.61350162415,11.10432693513576
6,-15953.281838018496,-586.2719976928234,-367890.6558256255,11.062002933758777
7,-15953.302705127802,-586.2727645445586,-367891.1370315997,10.580796959577128
8,-15953.242237169352,-586.2705423891954,-367889.74261024385,11.975218315434176
9,-15953.154015142527,-586.2673002911473,-367887.70816619426,14.009662365016993
10,-15953.11239536484,-586.2657707933014,-367886.74839331093,14.969435248349328
11,-15953.100783187952,-586.2653440538875,-367886.4806107058,15.237217853486072
12,-15953.081811029513,-586.264646840277,-367886.0431032461,15.674725313205272
13,-15953.073184568491,-586.2643298238419,-367885.8441727417,15.87365581758786
14,-15953.079866010745,-586.2645753621917,-367885.9982501408,15.719578418473247
15,-15953.09111197671,-586.2649886436093,-367886.2575877389,15.460240820364561
16,-15953.11528952798,-586.2658771517812,-367886.81513416,14.902694399293978
17,-15953.172569830027,-586.2679821629915,-367888.13604656537,13.581781993911136
18,-15953.246774990168,-586.2707091509503,-367889.8472546608,11.870573898486327
19,-15953.305856306162,-586.2728803481689,-367891.20969934826,10.508129211026244
20,-15953.349186498728,-586.2744727025705,-367892.2089152539,9.508913305355236
21,-15953.372063476649,-586.2753134155777,-367892.73646980326,8.9813587560202
