# Iteration 0
Image 0:
-0.016023 0.016912 0.015776
-0.014511 0.011598 0.024106
0.229207 -0.167478 -0.021860
0.015729 0.060067 0.019389
-0.073565 0.120393 -0.019112
0.023738 -0.039837 -0.007976
-0.017239 0.066337 0.007666
-0.030150 -0.008706 -0.020490
-0.028610 0.018952 0.002852
-0.023959 -0.040520 0.038925
0.008304 0.023239 -0.002805
-0.048533 -0.039197 0.009904
-0.011858 0.018730 -0.062027
-0.017146 -0.011076 0.006701
-0.005362 -0.016094 0.001637
0.108340 -0.047814 -0.046218
0.016843 -0.102853 0.092418
-0.043267 -0.018855 0.121787
-0.028478 -0.013448 0.108116
0.003826 0.120522 -0.050402
0.051968 0.015469 -0.114328
-0.059947 -0.017931 -0.091399
-0.112023 0.017987 -0.010007
0.043814 0.055239 0.102721
-0.080052 -0.032055 -0.061511
-0.001607 -0.045323 0.117041
0.033793 0.042191 0.095731
-0.094389 0.038001 -0.015209
0.064850 0.026418 -0.086062
0.000257 0.002638 0.107543
-0.082749 -0.012964 -0.055548
0.053963 -0.090027 -0.015853
-0.001442 0.092801 -0.094744
-0.017079 -0.123903 -0.051715
0.113244 -0.037835 0.000603
-0.030476 -0.002295 0.108132
0.011811 0.103627 -0.026027
-0.044493 -0.054506 -0.084773
0.110979 -0.034498 -0.013479
-0.007708 0.106094 -0.029500

Image 1:
-0.380396 0.019336 -0.279576
0.590992 0.353061 1.741033
0.273937 -1.409701 -0.108415
0.142494 0.049539 0.131571
0.003752 1.125279 0.345252
-0.036546 -0.033317 -0.094932
-0.075406 0.178702 -0.036122
0.029077 -0.005348 -0.066868
-0.045848 0.094782 -0.056705
-0.116908 -0.346253 -0.076243
-0.024568 0.028205 -0.003202
-0.025488 0.035513 -0.107165
-0.447074 0.037162 -1.776448
-0.036333 -0.010056 -0.009273
0.004340 0.008329 0.057011
0.315960 -0.077662 -0.079657
0.050376 -0.230005 0.326492
-0.038883 -0.027136 0.135465
0.013500 -0.010057 0.245108
0.019262 0.137713 -0.041624
0.047468 0.047848 -0.139295
-0.066675 -0.022635 -0.088491
-0.112660 0.002412 0.000034
0.049658 0.038189 0.115360
-0.155954 0.049690 -0.041771
0.008288 0.002721 0.136362
0.045189 0.046748 0.104973
-0.095618 0.040729 -0.014973
0.067410 0.022281 -0.083342
-0.026669 0.022067 0.225931
-0.141867 -0.059076 -0.051602
0.138336 -0.224246 -0.019876
0.006098 0.106436 -0.146047
-0.172298 -0.131187 -0.157842
0.121185 -0.041094 0.000796
-0.011637 0.032379 0.107288
0.021243 0.136228 -0.001256
-0.058349 -0.059298 -0.110792
0.119322 -0.033389 -0.026860
0.001287 0.105114 -0.054299

Image 2:
-0.634067 -0.090686 -0.437894
0.912798 0.623357 2.883166
0.333524 -2.461379 -0.198580
0.245295 0.030189 0.207757
0.158869 1.927755 0.750968
-0.089525 -0.032350 -0.166121
-0.139946 0.287516 -0.084432
0.083621 -0.001435 -0.106509
-0.061822 0.152710 -0.108334
-0.200340 -0.596352 -0.218718
-0.052562 0.032143 -0.004330
-0.013815 -0.040487 -0.154148
-0.596920 0.074332 -2.874745
-0.041165 0.005663 -0.019858
0.014678 0.028131 0.092009
0.393873 -0.078914 -0.099799
0.014890 -0.193071 0.446307
-0.033432 -0.033550 0.145104
0.071896 -0.016036 0.262801
0.030655 0.151092 -0.035277
0.041808 0.076851 -0.158474
-0.074405 -0.026419 -0.088295
-0.112708 -0.008817 0.008061
0.054639 0.023537 0.125039
-0.222287 0.120389 -0.021145
0.022296 0.035058 0.156819
0.053617 0.050081 0.111842
-0.095861 0.043490 -0.014369
0.069122 0.019171 -0.081133
-0.038823 0.037413 0.228099
-0.151586 -0.097296 -0.021582
0.135591 -0.233750 0.002499
0.015378 0.091148 -0.175991
-0.313090 -0.092879 -0.240219
0.122651 -0.044979 -0.000168
0.002678 0.060880 0.108328
0.029182 0.161973 0.021788
-0.067457 -0.059973 -0.127800
0.123195 -0.031360 -0.037156
0.009555 0.106854 -0.075512

Image 3:
-0.802444 -0.266192 -0.491388
1.024326 0.864595 3.526093
0.432313 -3.351872 -0.270177
0.325991 0.003830 0.255072
0.354212 2.566891 1.181158
-0.130755 -0.039498 -0.217257
-0.220112 0.384961 -0.141449
0.131230 0.004471 -0.139511
-0.076333 0.195114 -0.153777
-0.266955 -0.788399 -0.379852
-0.074911 0.034817 -0.006020
-0.022202 -0.203298 -0.155864
-0.547370 0.114265 -3.479665
-0.037142 0.030278 -0.025276
0.022935 0.042150 0.108804
0.385772 -0.066560 -0.106892
-0.064622 -0.063713 0.482351
-0.027387 -0.038079 0.151367
0.129051 -0.025190 0.214434
0.036988 0.159756 -0.032198
0.036711 0.101842 -0.170454
-0.082314 -0.029073 -0.089739
-0.112041 -0.016379 0.014225
0.058746 0.010759 0.132245
-0.278281 0.178414 -0.001923
0.040150 0.052530 0.175280
0.059090 0.052073 0.116386
-0.095369 0.046127 -0.013490
0.069941 0.016997 -0.079428
-0.036041 0.044791 0.163452
-0.127276 -0.125217 0.026576
0.077203 -0.166197 0.032364
0.021875 0.060490 -0.199203
-0.441461 -0.024554 -0.303354
0.119615 -0.049435 -0.002163
0.012806 0.083190 0.110396
0.035358 0.180784 0.041733
-0.071873 -0.057563 -0.136408
0.123712 -0.028798 -0.044426
0.016864 0.110894 -0.092021

Image 4:
-0.911561 -0.459724 -0.468345
