 ----------------------------------------------------------------------
 #P 
 ----------------------------------------------------------------------

  and normal coordinates:

                       1                       2                       3            
                       A                       A                       A            
 Frequencies --       -205.1182               -37.3765               -22.0162       
  Atom  AN      X      Y        Z       X      Y        Z       X      Y        Z 
     1   6    0.01    0.01    0.01   -0.03    0.01    0.06   -0.01    0.02    0.05
     2   6    0.03   -0.05   -0.08   -0.03    0.01    0.02   -0.02    0.03    0.05
     3   6   -0.09    0.04   -0.04    0.03   -0.00   -0.01    0.01   -0.02    0.05
     4   6   -0.00    0.00   -0.00   -0.01    0.00    0.04    0.00    0.00    0.01
     5   6   -0.02   -0.03   -0.05   -0.01   -0.00   -0.02    0.00    0.01    0.01
     6   6   -0.01   -0.01    0.00   -0.01    0.00    0.00    0.00    0.01   -0.03
     7   6   -0.01   -0.01   -0.01    0.00    0.00   -0.01    0.01   -0.01   -0.03
     8   6   -0.00   -0.00    0.00    0.00    0.01   -0.03    0.01   -0.01   -0.07
     9   6    0.01    0.01    0.01   -0.02   -0.00   -0.04   -0.02    0.02   -0.08
    10   6    0.02    0.01    0.04   -0.04   -0.01   -0.07   -0.02    0.03   -0.03
    11   6   -0.00   -0.00   -0.01    0.01    0.01   -0.02    0.02   -0.01   -0.10
    12   6   -0.03    0.01   -0.03    0.05   -0.03   -0.05   -0.02    0.02    0.08
    13   6    0.08    0.00    0.14    0.06    0.01    0.03    0.02   -0.06    0.06
    14   6   -0.00    0.01   -0.01   -0.03    0.01    0.05   -0.01    0.03    0.00
    15   6   -0.00    0.00   -0.00    0.02   -0.02    0.05    0.02   -0.04    0.02
    16   1    0.07    0.03    0.08   -0.01    0.00    0.11   -0.01   -0.00    0.08
    17   1    0.05   -0.08   -0.11   -0.05    0.01    0.02   -0.04    0.05    0.08
    18   1   -0.01   -0.03    0.00   -0.03    0.01   -0.01   -0.01    0.04   -0.04
    19   1   -0.08    0.04    0.03   -0.08    0.04    0.08   -0.03    0.05    0.05
    20   1   -0.02   -0.01    0.01    0.00   -0.00   -0.00    0.01   -0.01   -0.06
    21   1   -0.01    0.01   -0.01    0.02    0.00   -0.01    0.03   -0.04   -0.02
    22   1   -0.01   -0.00    0.01    0.01    0.02   -0.04    0.03   -0.02   -0.08
