image,energy [eV],energy [hartree],energy [kcal/mol],Delta E vs. reactant [kcal/mol]
0,-76350.82996765555,-2805.8398306465506,-1760688.314469121,0.0
1,-76350.8330866474,-2805.8399452673293,-1760688.3863946325,-0.07192551158368587
2,-76350.8407580036,-2805.840227184327,-1760688.563299942,-0.24883082113228738
3,-76350.79864803725,-2805.838679672389,-1760687.592223063,0.7222460578195751
4,-76350.65391842306,-2805.8333609598576,-1760684.2546857952,4.059783325763419
5,-76350.50886074484,-2805.828030191201,-1760680.9095832065,7.404885914409533
6,-76350.50558391989,-2805.8279097701657,-1760680.8340179848,7.480451136128977
7,-76350.51091925085,-2805.8281058398634,-1760680.9570533843,7.357415736652911
8,-76350.37557951391,-2805.8231321987814,-1760677.8360513807,10.47841774020344
9,-76350.20181290091,-2805.8167463967643,-1760673.8289064015,14.485562719404697
10,-76350.24185768545,-2805.818218014709,-1760674.7523591556,13.56210996536538
11,-76350.46542135657,-2805.826433823933,-1760679.907849193,8.406619927845895
12,-76350.47320906103,-2805.826720016649,-1760680.0874375522,8.227031568763778
13,-76350.39259163321,-2805.823757382318,-1760678.2283593577,10.086109763244167
14,-76350.38354412497,-2805.823424892691,-1760678.0197192938,10.294749827124178
15,-76350.3147360462,-2805.8208962437143,-1760676.4329705935,11.88149852748029
16,-76350.37902513922,-2805.8232588231117,-1760677.915509223,10.398959897924215
17,-76351.11119429045,-2805.850165529537,-1760694.799695935,-6.485226814169437
18,-76351.83166376532,-2805.8766422810045,-1760711.41408226,-23.099613139173016
19,-76352.47259823263,-2805.900196176332,-1760726.1943515437,-37.8798824227415
20,-76352.91509262503,-2805.9164575370996,-1760736.3984934795,-48.08402435854077
21,-76353.0836512226,-2805.922651948176,-1760740.2855390187,-51.97106989775784
