# Iteration 0
Image 0:
0.429215 -0.309725 0.171290
-0.029055 0.279487 -0.392707
0.012883 -0.224997 0.423398
-0.104425 -0.125143 -0.270321
-0.262354 0.086262 0.013154
0.016878 0.184619 0.067257
0.242520 0.037906 -0.027573
-0.089159 0.086499 0.068343
-0.379288 -0.036720 0.020293
0.382619 -0.078047 -0.056147
0.238681 0.096599 0.023542
0.029098 0.084012 0.078922
0.035267 0.260519 0.173507
-0.000157 -0.277729 -0.163275
0.012104 -0.170006 -0.090196
-0.008086 -0.059051 -0.029577
0.379645 -0.011983 -0.050260
-0.373651 0.012079 0.071799
-0.045070 -0.064086 -0.016826
-0.081052 -0.167663 -0.074347
-0.055762 -0.264115 -0.175162
0.037341 0.247090 0.189994
-0.009598 0.096389 0.105921
-0.092711 0.077831 0.005915
-0.187617 0.188101 0.141605
0.089543 0.081422 0.077773
0.244562 0.172132 0.087741
0.181053 -0.000872 -0.069535
0.197843 -0.190888 -0.165368
-0.161781 -0.000383 -0.027732
-0.250106 -0.168657 -0.097808
-0.005398 0.007956 0.007512
-0.128453 -0.143247 -0.300372
-0.046033 -0.210719 0.297140
-0.151676 0.279673 0.016205
0.316634 0.063976 -0.065426
0.092951 -0.114095 0.107640
-0.188565 0.239616 0.167126
0.248151 0.218129 0.105787
0.300325 0.172850 0.082044
0.244967 -0.194502 -0.164845
0.187766 -0.232450 -0.191026
-0.253514 -0.212830 -0.123711
-0.296465 -0.170581 -0.085212
-0.242136 0.195001 0.164534
-0.054955 0.274253 -0.290756
-0.126137 0.186732 0.269563
-0.296842 -0.200645 -0.009824

Image 1:
0.486550 -0.256247 0.098126
0.047664 -0.121647 0.271744
-0.028269 0.122656 -0.102246
-0.113452 -0.120503 -0.304423
-0.255415 0.075610 0.022675
0.000354 0.158096 0.049232
0.208897 0.019754 -0.000295
-0.088281 0.072895 0.144579
-0.394256 -0.037503 -0.012440
0.387409 -0.100375 -0.049530
0.266706 0.118875 -0.011282
0.031961 0.105194 0.086365
0.034852 0.290513 0.187718
-0.014197 -0.307508 -0.180874
0.016847 -0.165433 -0.087269
0.008281 -0.048533 -0.033143
0.383836 -0.006248 -0.046409
-0.372750 0.021118 0.076156
-0.064857 -0.052500 -0.008352
-0.089976 -0.181492 -0.089063
-0.041328 -0.266699 -0.178797
0.056131 0.243976 0.185483
-0.008101 0.095269 0.113680
-0.109873 0.103611 -0.005624
-0.185284 0.187094 0.141664
0.088817 0.086902 0.098758
0.250948 0.176479 0.087733
0.191734 -0.046852 -0.087102
0.199966 -0.193217 -0.167070
-0.173303 -0.005989 -0.027407
-0.248033 -0.168336 -0.096532
0.384650 0.063953 0.302413
-0.548093 -0.342669 -0.638311
-0.047964 -0.224814 0.258301
-0.206580 0.332931 -0.045568
0.380462 0.145157 0.039234
0.139370 -0.042273 0.021371
-0.190892 0.241070 0.165965
0.253517 0.221314 0.108870
0.304443 0.176061 0.082148
0.247544 -0.196664 -0.164912
0.192007 -0.237485 -0.191810
-0.253146 -0.213263 -0.122865
-0.297062 -0.171505 -0.085818
-0.244735 0.196998 0.166727
-0.079657 0.300623 -0.307111
-0.116204 0.240150 0.344133
-0.391241 -0.288543 -0.008819

Image 2:
0.483698 -0.211252 0.033279
0.111957 -0.370688 0.761944
-0.054009 0.351600 -0.475963
-0.118387 -0.115985 -0.324605
-0.245433 0.067178 0.037111
-0.009549 0.146750 0.037567
0.196556 0.003785 0.024450
-0.094216 0.055286 0.209115
-0.401335 -0.036724 -0.039503
0.388052 -0.115904 -0.045799
0.292878 0.130274 -0.032559
0.031571 0.115156 0.087520
0.034009 0.304919 0.192415
-0.024097 -0.322552 -0.187994
0.016310 -0.159166 -0.081937
0.026008 -0.037225 -0.035571
0.383417 -0.002336 -0.042617
-0.370790 0.026805 0.078258
-0.078038 -0.042031 -0.001464
-0.093870 -0.196146 -0.103259
-0.033564 -0.266623 -0.179205
0.068040 0.240541 0.181776
-0.005129 0.094419 0.120120
-0.121494 0.124994 -0.013557
-0.184343 0.186978 0.142110
0.086966 0.093493 0.115564
0.254840 0.179605 0.086622
0.199364 -0.082619 -0.097559
0.201759 -0.195133 -0.168255
-0.184154 -0.008386 -0.024526
-0.247798 -0.169123 -0.096110
0.810027 0.162205 0.572842
-1.013775 -0.540817 -0.970658
-0.052594 -0.240317 0.222226
-0.242618 0.346492 -0.105784
0.430812 0.214509 0.141379
0.172976 -0.000823 -0.038817
-0.193357 0.242818 0.165363
0.256899 0.223669 0.110406
0.306664 0.178223 0.081253
0.249927 -0.198153 -0.164989
0.194943 -0.241110 -0.191552
-0.253253 -0.213910 -0.122338
-0.298274 -0.172564 -0.086582
-0.247166 0.198482 0.168110
-0.099064 0.314581 -0.311604
-0.098244 0.263389 0.372977
-0.433126 -0.326564 0.000400

Image 3:
0.445244 -0.192555 -0.022502
0.172158 -0.500342 1.125136
-0.068740 0.503334 -0.743830
-0.120321 -0.104063 -0.321920
-0.227642 0.057589 0.052802
-0.015923 0.146206 0.021029
0.195443 -0.010816 0.046735
-0.096751 0.030909 0.261946
-0.399828 -0.032107 -0.059830
0.383317 -0.123051 -0.042425
0.306176 0.130144 -0.042094
0.026122 0.114401 0.082504
0.034609 0.305802 0.189345
