image,energy [eV],energy [hartree],energy [kcal/mol],Delta E vs. reactant [kcal/mol]
0,-37509.094065730846,-1378.4330856086362,-864978.4637027862,0.0
1,-37509.069354956424,-1378.432177504885,-864977.8938599727,0.5698428135365248
2,-37508.98991054801,-1378.4292579782007,-864976.0618321924,2.401870593894273
3,-37508.90647930411,-1378.4261919380888,-864974.1378659925,4.325836793752387
4,-37508.845414822375,-1378.4239478609104,-864972.7296885115,5.734014274785295
5,-37508.812914793765,-1378.422753507492,-864971.9802216017,6.483481184579432
6,-37508.767412250316,-1378.421081320708,-864970.9309101985,7.532792587764561
7,-37508.62000650672,-1378.415664262284,-864967.5316600482,10.932042738073505
8,-37508.40286726264,-1378.4076845462798,-864962.5243205101,15.939382276148535
9,-37508.41153049973,-1378.4080029142099,-864962.7240990892,15.739603697089478
10,-37508.648999874866,-1378.4167297483725,-864968.2002616144,10.263441171846353
11,-37508.845270459926,-1378.423942555691,-864972.7263594412,5.737343345070258
12,-37508.87987083701,-1378.425214095453,-864973.5242614369,4.939441349357367
13,-37508.85990089682,-1378.4244802140581,-864973.0637446312,5.399958155001514
14,-37508.94116896895,-1378.427466759114,-864974.9378270085,3.5258757777046412
15,-37509.16821104792,-1378.435810397404,-864980.1735308707,-1.7098280844511464
16,-37509.47311574725,-1378.447015432769,-864987.2047856895,-8.741082903230563
17,-37509.7393971136,-1378.4568010875441,-864993.3453671382,-14.881664351909421
18,-37509.89282376078,-1378.462439409982,-864996.8834623356,-18.41975954931695
19,-37509.9824302843,-1378.4657323873191,-864998.9498335711,-20.486130784847774
20,-37510.09665591029,-1378.4699300995278,-865001.5839336193,-23.12023083306849
21,-37510.20041353015,-1378.4737431198007,-865003.976636212,-25.512933425721712
