# Iteration 0
Image 0:
-0.050031 0.161139 0.068585
-0.025346 -0.013866 -0.006972
0.303853 -0.074188 0.046116
0.769136 -0.115665 -0.134678
-0.129100 0.111571 0.369219
0.480263 -0.075178 0.129069
-0.961015 0.201274 -0.104371
0.138870 -0.200977 0.211461
-0.022775 0.039533 0.069273
-0.003082 -0.096212 -0.012157
-0.126181 0.101030 -0.350351
-0.552215 0.076218 0.033428
0.075450 0.030320 0.064133
0.989841 -0.267470 -0.095275
0.270485 -0.098022 0.729967
-0.239604 0.143190 -0.676999
-0.117308 0.004902 0.011653
-0.055151 0.031293 0.070475
-0.030939 0.066123 -0.044977
0.112460 -0.002279 0.024027
0.165528 -0.012802 -0.000967
0.022544 -0.057055 -0.068801
-0.102485 0.007682 0.023301
0.051182 -0.055828 0.070715
-0.094045 0.025447 0.142744
-0.017265 -0.026738 -0.133362
0.071731 -0.095857 -0.070382
0.070555 0.068734 -0.044870
-0.818443 0.150465 0.030874
0.099322 -0.048192 -0.023973
-0.032980 -0.017103 0.081802
-0.773035 -0.010962 1.156016
0.607163 0.005367 -0.989981
-0.041678 -0.043282 -0.060770
0.054978 0.031439 0.056621
0.012029 -0.043235 -0.037626
0.040687 0.063489 -0.034608
-0.110519 0.049146 0.007564
0.016293 -0.041695 0.072255
-0.084703 0.062644 -0.156673
0.016059 0.086440 0.077771
0.145404 -0.055421 0.013118
-0.044048 -0.052977 0.017635
0.100110 -0.053754 -0.123161
-0.011695 -0.098911 0.075680
-0.130226 0.038184 0.001458
0.042520 0.059033 0.038119
0.259946 -0.029334 -0.453676
-0.389100 0.029872 0.000021
0.027326 0.034386 0.052781
-0.008744 0.059198 -0.030177
0.027982 -0.051116 -0.091073

Image 1:
-0.083919 0.103086 0.035181
-0.011028 0.003326 0.045420
0.205018 -0.278615 0.056631
0.766435 -0.125424 -0.067047
-0.355681 0.246897 0.786059
0.432468 -0.300393 0.120321
-0.936641 0.295319 -0.071772
0.117783 -0.448481 0.184794
0.007314 0.079339 0.089891
-0.064911 0.090063 0.043944
-0.102912 0.178743 -0.476234
-0.686658 0.131904 0.219721
0.116547 0.046657 -0.041782
1.071204 -0.270032 -0.078910
0.524638 -0.152721 0.877636
-0.394397 0.216734 -0.876427
-0.075412 -0.035825 -0.023187
-0.057986 0.024437 0.077601
-0.028812 0.065973 -0.042262
0.104490 0.013011 0.027026
0.101420 -0.073754 -0.001394
0.023534 -0.046045 -0.049795
-0.083406 0.010725 0.014573
0.061180 -0.049169 0.065858
-0.052156 0.085177 0.104468
-0.010181 -0.026007 -0.136164
0.056709 -0.101730 -0.057506
0.045793 0.060100 -0.037153
-0.850036 0.165145 0.001613
0.123338 -0.117421 0.017086
-0.056536 -0.009359 0.072829
-0.036378 -0.194764 0.554293
0.244260 -0.012228 -0.444854
-0.092946 -0.019654 -0.046006
0.010582 0.035179 0.002159
0.021895 -0.032898 -0.028634
0.046894 0.039717 -0.036233
-0.104629 0.040226 0.005477
0.027324 -0.112976 0.108409
-0.101228 -0.117076 -0.206602
0.063866 0.129207 0.127925
0.088885 -0.003226 0.058885
0.013669 0.005265 0.000755
0.035239 -0.012507 -0.055525
-0.005801 -0.082820 0.061725
-0.086469 0.030213 0.003354
0.035055 0.014209 0.011989
0.301037 0.350983 -0.816740
-0.386598 0.082531 -0.057939
0.038719 0.031208 0.038573
-0.064095 0.098371 -0.016510
0.043518 -0.050619 -0.145524

Image 2:
-0.106753 0.049929 -0.000776
0.008306 0.003359 0.079464
0.136833 -0.456848 0.052012
0.763447 -0.132796 -0.039927
-0.471111 0.379763 1.044029
0.428509 -0.546681 0.092071
-0.935648 0.383518 -0.010405
0.095353 -0.676433 0.135280
0.034497 0.116831 0.105855
-0.111065 0.232957 0.097213
-0.075218 0.245883 -0.563195
-0.870930 0.208001 0.371904
0.179633 0.049689 -0.116039
1.123939 -0.262242 -0.088620
0.739714 -0.202266 0.988352
-0.509789 0.279940 -1.024028
-0.040033 -0.069593 -0.048200
-0.059282 0.018514 0.082674
-0.027956 0.066426 -0.041426
0.102793 0.026904 0.031039
0.063366 -0.103918 0.006881
0.023857 -0.040895 -0.042645
-0.080132 0.010331 0.009294
0.066874 -0.045621 0.063663
-0.027529 0.149399 0.082962
-0.005460 -0.023701 -0.139701
0.047211 -0.108107 -0.045374
0.029177 0.052477 -0.035272
-0.868539 0.174702 -0.014433
0.106322 -0.154100 0.042106
-0.050922 -0.006030 0.061246
0.210194 -0.305775 0.461189
0.166975 -0.030445 -0.363560
-0.123352 -0.001930 -0.023471
-0.023267 0.035368 -0.033086
0.028256 -0.030671 -0.025774
0.051853 0.025753 -0.038223
-0.099921 0.035443 0.004299
0.032705 -0.182979 0.131695
-0.102714 -0.237390 -0.214761
0.090009 0.162648 0.145362
0.103770 0.025597 0.069298
0.032784 0.023163 -0.011802
0.005040 0.012765 -0.031342
-0.001362 -0.091752 0.064139
-0.075380 0.027750 0.000717
0.037129 0.001007 0.004824
0.324620 0.689797 -1.034807
-0.373623 0.117175 -0.075063
0.046108 0.031635 0.027464
-0.098070 0.127959 -0.017069
0.058781 -0.054510 -0.176033

Image 3:
-0.119954 0.000295 -0.035245
0.029501 -0.008632 0.098963
0.089781 -0.612402 0.040010
0.761610 -0.139701 -0.044365
-0.518474 0.503775 1.208052
0.456173 -0.806915 0.049317
-0.952086 0.464534 0.069820
0.073811 -0.878756 0.071580
0.058710 0.151657 0.117499
-0.144029 0.339473 0.147235
-0.046650 0.303473 -0.619441
-1.085576 0.301877 0.490228
0.254001 0.041325 -0.161447
1.154970 -0.247850 -0.116052
0.915188 -0.244623 1.066350
-0.590039 0.331675 -1.126191
-0.009463 -0.095524 -0.064399
-0.059343 0.013665 0.086123
-0.028236 0.066991 -0.041848
0.105265 0.039256 0.035665
0.044208 -0.110558 0.019745
0.023129 -0.039125 -0.042691
-0.087400 0.006903 0.006413
0.068856 -0.044204 0.063274
-0.015103 0.215890 0.075761
-0.003042 -0.020151 -0.144013
0.041844 -0.114442 -0.034035
